nt n policy kernel bw
32 157464000 3d-mdrange Copy 1354.7432
32 157464000 3d-mdrange Scale 1335.4621
32 157464000 3d-mdrange Add 1629.0053
32 157464000 3d-mdrange Triad 1633.6601
32 157351936 4d-mdrange Set 771.4143
32 157351936 4d-mdrange Copy 1424.7593
32 157351936 4d-mdrange Scale 1389.5929
32 157351936 4d-mdrange Add 1541.4684
32 157351936 4d-mdrange Triad 1540.3052
32 164916224 5d-mdrange Set 547.6981
32 164916224 5d-mdrange Copy 1010.9648
32 164916224 5d-mdrange Scale 1004.4342
32 164916224 5d-mdrange Add 1341.6918
32 164916224 5d-mdrange Triad 1336.1528
32 268435456 range Set 1375.0161
32 268435456 range Copy 1704.0194
32 268435456 range Scale 1698.0639
32 268435456 range Add 1757.0770
32 268435456 range Triad 1759.9276
32 268435456 2d-mdrange Set 345.0441
32 268435456 2d-mdrange Copy 689.9840
32 268435456 2d-mdrange Scale 689.9884
32 268435456 2d-mdrange Add 1034.9528
32 268435456 2d-mdrange Triad 1034.9743
32 262144000 3d-mdrange Set 689.0349
32 262144000 3d-mdrange Copy 1371.1684
32 262144000 3d-mdrange Scale 1366.1970
32 262144000 3d-mdrange Add 1653.0224
32 262144000 3d-mdrange Triad 1656.7088
32 268435456 4d-mdrange Set 853.7474
32 268435456 4d-mdrange Copy 1486.3798
32 268435456 4d-mdrange Scale 1471.0863
32 268435456 4d-mdrange Add 1549.9702
32 268435456 4d-mdrange Triad 1553.4051
32 254803968 5d-mdrange Set 598.9178
32 254803968 5d-mdrange Copy 1105.1636
32 254803968 5d-mdrange Scale 1098.2004
32 254803968 5d-mdrange Add 1421.1276
32 254803968 5d-mdrange Triad 1416.6503
32 429981696 range Set 1377.5934
32 429981696 range Copy 1699.5450
32 429981696 range Scale 1701.4617
32 429981696 range Add 1757.7962
32 429981696 range Triad 1760.7356
32 429981696 2d-mdrange Set 345.2470
32 429981696 2d-mdrange Copy 690.4309
32 429981696 2d-mdrange Scale 690.4031
32 429981696 2d-mdrange Add 1035.6162
32 429981696 2d-mdrange Triad 1035.6474
32 438976000 3d-mdrange Set 682.6107
32 438976000 3d-mdrange Copy 1357.8993
32 438976000 3d-mdrange Scale 1354.3803
