nt n factor policy kernel bw
96 4096 64 2d-mdrange Set 3.1975
96 4096 64 2d-mdrange Copy 6.2155
96 4096 64 2d-mdrange Scale 5.2644
96 4096 64 2d-mdrange Add 9.4224
96 4096 64 2d-mdrange Triad 9.1149
96 4096 64 3d-mdrange Set 3.3022
96 4096 64 3d-mdrange Copy 6.6025
96 4096 64 3d-mdrange Scale 6.6419
96 4096 64 3d-mdrange Add 5.8872
96 4096 64 3d-mdrange Triad 6.2108
96 4096 64 4d-mdrange Set 3.3539
96 4096 64 4d-mdrange Copy 6.6983
96 4096 64 4d-mdrange Scale 6.3640
96 4096 64 4d-mdrange Add 5.9701
96 4096 64 4d-mdrange Triad 5.8833
96 20736 1 2d-mdrange Set 46.5455
96 20736 1 2d-mdrange Copy 101.6159
96 20736 1 2d-mdrange Scale 96.0834
96 20736 1 2d-mdrange Add 145.7288
96 20736 1 2d-mdrange Triad 143.9583
96 32768 1 3d-mdrange Set 70.7159
96 32768 1 3d-mdrange Copy 126.2128
96 32768 1 3d-mdrange Scale 127.6572
96 32768 1 3d-mdrange Add 179.1825
96 32768 1 3d-mdrange Triad 178.8158
96 20736 1 4d-mdrange Set 40.6489
96 20736 1 4d-mdrange Copy 85.2018
96 20736 1 4d-mdrange Scale 82.5108
96 20736 1 4d-mdrange Add 123.2757
96 20736 1 4d-mdrange Triad 119.9190
96 20736 2 2d-mdrange Set 45.2504
96 20736 2 2d-mdrange Copy 106.2703
96 20736 2 2d-mdrange Scale 90.4761
96 20736 2 2d-mdrange Add 139.3626
96 20736 2 2d-mdrange Triad 135.6772
96 32768 2 3d-mdrange Set 65.3237
96 32768 2 3d-mdrange Copy 114.0252
96 32768 2 3d-mdrange Scale 116.6380
96 32768 2 3d-mdrange Add 149.5971
96 32768 2 3d-mdrange Triad 143.3787
96 20736 2 4d-mdrange Set 27.8102
96 20736 2 4d-mdrange Copy 57.2126
96 20736 2 4d-mdrange Scale 54.0000
96 20736 2 4d-mdrange Add 63.4937
96 20736 2 4d-mdrange Triad 62.1614
96 20736 4 2d-mdrange Set 35.3857
96 20736 4 2d-mdrange Copy 83.6762
96 20736 4 2d-mdrange Scale 81.6780
96 20736 4 2d-mdrange Add 113.8298
96 20736 4 2d-mdrange Triad 117.7903
96 32768 4 3d-mdrange Set 67.5455
96 32768 4 3d-mdrange Copy 113.4823
96 32768 4 3d-mdrange Scale 115.1522
96 32768 4 3d-mdrange Add 171.4480
96 32768 4 3d-mdrange Triad 169.3801
96 20736 4 4d-mdrange Set 21.7844
96 20736 4 4d-mdrange Copy 42.4755
96 20736 4 4d-mdrange Scale 42.1946
96 20736 4 4d-mdrange Add 43.3316
96 20736 4 4d-mdrange Triad 41.9899
96 20736 8 2d-mdrange Set 28.7351
96 20736 8 2d-mdrange Copy 62.1653
96 20736 8 2d-mdrange Scale 58.7630
96 20736 8 2d-mdrange Add 87.3861
96 20736 8 2d-mdrange Triad 81.8257
96 32768 8 3d-mdrange Set 34.1912
96 32768 8 3d-mdrange Copy 67.7637
96 32768 8 3d-mdrange Scale 66.2900
96 32768 8 3d-mdrange Add 53.9835
96 32768 8 3d-mdrange Triad 46.6365
96 20736 8 4d-mdrange Set 9.2763
96 20736 8 4d-mdrange Copy 20.2760
96 20736 8 4d-mdrange Scale 15.5544
96 20736 8 4d-mdrange Add 15.8744
96 20736 8 4d-mdrange Triad 15.4881
96 20736 16 2d-mdrange Set 21.5467
96 20736 16 2d-mdrange Copy 42.2429
96 20736 16 2d-mdrange Scale 39.2774
96 20736 16 2d-mdrange Add 60.9733
96 20736 16 2d-mdrange Triad 49.5336
96 32768 16 3d-mdrange Set 13.3617
96 32768 16 3d-mdrange Copy 25.5700
96 32768 16 3d-mdrange Scale 27.3351
96 32768 16 3d-mdrange Add 25.7830
96 32768 16 3d-mdrange Triad 25.6083
96 20736 16 4d-mdrange Set 9.9513
96 20736 16 4d-mdrange Copy 20.8481
96 20736 16 4d-mdrange Scale 17.5506
96 20736 16 4d-mdrange Add 16.1595
96 20736 16 4d-mdrange Triad 15.7823
96 20736 32 2d-mdrange Set 23.7696
96 20736 32 2d-mdrange Copy 50.6374
96 20736 32 2d-mdrange Scale 45.5486
96 20736 32 2d-mdrange Add 72.2719
96 20736 32 2d-mdrange Triad 73.3153
96 32768 32 3d-mdrange Set 5.0272
96 32768 32 3d-mdrange Copy 11.6196
96 32768 32 3d-mdrange Scale 11.6555
96 32768 32 3d-mdrange Add 12.2757
96 32768 32 3d-mdrange Triad 12.4942
96 20736 32 4d-mdrange Set 9.3685
96 20736 32 4d-mdrange Copy 20.2599
96 20736 32 4d-mdrange Scale 15.6668
96 20736 32 4d-mdrange Add 17.5648
96 20736 32 4d-mdrange Triad 16.3862
96 20736 64 2d-mdrange Set 9.6807
96 20736 64 2d-mdrange Copy 18.3759
96 20736 64 2d-mdrange Scale 19.3343
96 20736 64 2d-mdrange Add 30.7295
96 20736 64 2d-mdrange Triad 27.4543
96 32768 64 3d-mdrange Set 4.5405
96 32768 64 3d-mdrange Copy 13.2684
96 32768 64 3d-mdrange Scale 11.3859
96 32768 64 3d-mdrange Add 11.4081
96 32768 64 3d-mdrange Triad 11.2158
96 20736 64 4d-mdrange Set 9.3395
96 20736 64 4d-mdrange Copy 20.4245
96 20736 64 4d-mdrange Scale 16.8525
96 20736 64 4d-mdrange Add 15.9810
96 20736 64 4d-mdrange Triad 15.4367
96 65536 1 2d-mdrange Set 122.1832
96 65536 1 2d-mdrange Copy 280.5930
96 65536 1 2d-mdrange Scale 257.1300
96 65536 1 2d-mdrange Add 405.7957
96 65536 1 2d-mdrange Triad 369.2169
96 64000 1 3d-mdrange Set 132.0949
96 64000 1 3d-mdrange Copy 251.0419
96 64000 1 3d-mdrange Scale 222.2222
96 64000 1 3d-mdrange Add 326.7390
96 64000 1 3d-mdrange Triad 325.7688
96 65536 1 4d-mdrange Set 125.1284
96 65536 1 4d-mdrange Copy 246.6077
96 65536 1 4d-mdrange Scale 240.1686
96 65536 1 4d-mdrange Add 334.7944
96 65536 1 4d-mdrange Triad 329.8792
96 65536 2 2d-mdrange Set 124.2978
96 65536 2 2d-mdrange Copy 301.4882
96 65536 2 2d-mdrange Scale 254.6942
96 65536 2 2d-mdrange Add 388.9377
96 65536 2 2d-mdrange Triad 385.3170
96 64000 2 3d-mdrange Set 82.4742
96 64000 2 3d-mdrange Copy 156.8387
96 64000 2 3d-mdrange Scale 158.6613
96 64000 2 3d-mdrange Add 227.0174
96 64000 2 3d-mdrange Triad 219.7111
96 65536 2 4d-mdrange Set 124.0625
96 65536 2 4d-mdrange Copy 238.8556
96 65536 2 4d-mdrange Scale 218.1806
96 65536 2 4d-mdrange Add 301.5460
96 65536 2 4d-mdrange Triad 294.8199
96 65536 4 2d-mdrange Set 118.1361
96 65536 4 2d-mdrange Copy 292.7348
96 65536 4 2d-mdrange Scale 250.3763
96 65536 4 2d-mdrange Add 373.3359
96 65536 4 2d-mdrange Triad 357.8758
96 64000 4 3d-mdrange Set 61.2294
96 64000 4 3d-mdrange Copy 113.3496
96 64000 4 3d-mdrange Scale 116.8416
96 64000 4 3d-mdrange Add 162.3335
96 64000 4 3d-mdrange Triad 164.0325
96 65536 4 4d-mdrange Set 48.9029
96 65536 4 4d-mdrange Copy 106.9321
96 65536 4 4d-mdrange Scale 102.7512
96 65536 4 4d-mdrange Add 68.2637
96 65536 4 4d-mdrange Triad 77.8299
96 65536 8 2d-mdrange Set 112.6532
96 65536 8 2d-mdrange Copy 272.0042
96 65536 8 2d-mdrange Scale 234.8434
96 65536 8 2d-mdrange Add 351.3995
96 65536 8 2d-mdrange Triad 341.3333
96 64000 8 3d-mdrange Set 39.0422
96 64000 8 3d-mdrange Copy 87.5288
96 64000 8 3d-mdrange Scale 78.8056
96 64000 8 3d-mdrange Add 82.9598
96 64000 8 3d-mdrange Triad 78.6201
96 65536 8 4d-mdrange Set 26.7099
96 65536 8 4d-mdrange Copy 56.0886
96 65536 8 4d-mdrange Scale 45.0768
96 65536 8 4d-mdrange Add 29.3248
96 65536 8 4d-mdrange Triad 28.0014
96 65536 16 2d-mdrange Set 103.7578
96 65536 16 2d-mdrange Copy 188.8646
96 65536 16 2d-mdrange Scale 150.1612
96 65536 16 2d-mdrange Add 200.6204
96 65536 16 2d-mdrange Triad 210.0793
96 64000 16 3d-mdrange Set 17.6272
96 64000 16 3d-mdrange Copy 34.8347
96 64000 16 3d-mdrange Scale 37.4570
96 64000 16 3d-mdrange Add 30.7188
96 64000 16 3d-mdrange Triad 29.7380
96 65536 16 4d-mdrange Set 12.0183
96 65536 16 4d-mdrange Copy 27.6735
96 65536 16 4d-mdrange Scale 20.8900
96 65536 16 4d-mdrange Add 15.2251
96 65536 16 4d-mdrange Triad 14.7741
96 65536 32 2d-mdrange Set 87.3959
96 65536 32 2d-mdrange Copy 187.8832
96 65536 32 2d-mdrange Scale 137.9705
96 65536 32 2d-mdrange Add 200.7484
96 65536 32 2d-mdrange Triad 187.6031
96 64000 32 3d-mdrange Set 8.2510
96 64000 32 3d-mdrange Copy 19.3434
96 64000 32 3d-mdrange Scale 18.2574
96 64000 32 3d-mdrange Add 16.6367
96 64000 32 3d-mdrange Triad 16.4911
96 65536 32 4d-mdrange Set 11.6049
96 65536 32 4d-mdrange Copy 23.5239
96 65536 32 4d-mdrange Scale 23.3708
96 65536 32 4d-mdrange Add 15.2448
96 65536 32 4d-mdrange Triad 14.6655
96 65536 64 2d-mdrange Set 46.8491
96 65536 64 2d-mdrange Copy 115.1649
96 65536 64 2d-mdrange Scale 106.0239
96 65536 64 2d-mdrange Add 157.3021
96 65536 64 2d-mdrange Triad 149.1008
96 64000 64 3d-mdrange Set 8.2747
96 64000 64 3d-mdrange Copy 18.9858
96 64000 64 3d-mdrange Scale 21.0934
96 64000 64 3d-mdrange Add 16.5432
96 64000 64 3d-mdrange Triad 16.2672
96 65536 64 4d-mdrange Set 11.3554
96 65536 64 4d-mdrange Copy 28.0901
96 65536 64 4d-mdrange Scale 22.9142
96 65536 64 4d-mdrange Add 14.8397
96 65536 64 4d-mdrange Triad 14.9043
