nt n factor policy kernel bw
128 20736 32 4d-mdrange Triad 7.4467
128 20736 64 2d-mdrange Set 4.7683
128 20736 64 2d-mdrange Copy 9.5613
128 20736 64 2d-mdrange Scale 9.6612
128 20736 64 2d-mdrange Add 14.3709
128 20736 64 2d-mdrange Triad 13.9558
128 32768 64 3d-mdrange Set 2.8127
128 32768 64 3d-mdrange Copy 6.6089
128 32768 64 3d-mdrange Scale 6.4790
128 32768 64 3d-mdrange Add 9.0177
128 32768 64 3d-mdrange Triad 8.2678
128 20736 64 4d-mdrange Set 2.3325
128 20736 64 4d-mdrange Copy 5.1654
128 20736 64 4d-mdrange Scale 4.9130
128 20736 64 4d-mdrange Add 7.3163
128 20736 64 4d-mdrange Triad 7.4623
128 65536 1 2d-mdrange Set 15.3345
128 65536 1 2d-mdrange Copy 31.5162
128 65536 1 2d-mdrange Scale 31.4982
128 65536 1 2d-mdrange Add 44.9133
128 65536 1 2d-mdrange Triad 44.6583
128 64000 1 3d-mdrange Set 15.0899
128 64000 1 3d-mdrange Copy 30.0637
128 64000 1 3d-mdrange Scale 29.7674
128 64000 1 3d-mdrange Add 44.3022
128 64000 1 3d-mdrange Triad 45.5922
128 65536 1 4d-mdrange Set 15.7255
128 65536 1 4d-mdrange Copy 31.6695
128 65536 1 4d-mdrange Scale 31.7837
128 65536 1 4d-mdrange Add 46.5069
128 65536 1 4d-mdrange Triad 45.8949
128 65536 2 2d-mdrange Set 15.5853
128 65536 2 2d-mdrange Copy 30.7230
128 65536 2 2d-mdrange Scale 31.0505
128 65536 2 2d-mdrange Add 44.7982
128 65536 2 2d-mdrange Triad 46.4506
128 64000 2 3d-mdrange Set 14.8790
128 64000 2 3d-mdrange Copy 30.1079
128 64000 2 3d-mdrange Scale 29.8273
128 64000 2 3d-mdrange Add 44.1126
128 64000 2 3d-mdrange Triad 43.3886
128 65536 2 4d-mdrange Set 15.3660
128 65536 2 4d-mdrange Copy 30.7861
128 65536 2 4d-mdrange Scale 30.7500
128 65536 2 4d-mdrange Add 45.5507
128 65536 2 4d-mdrange Triad 44.9518
128 65536 4 2d-mdrange Set 15.5848
128 65536 4 2d-mdrange Copy 30.8214
128 65536 4 2d-mdrange Scale 31.4321
128 65536 4 2d-mdrange Add 46.1928
128 65536 4 2d-mdrange Triad 45.9754
128 64000 4 3d-mdrange Set 15.1122
128 64000 4 3d-mdrange Copy 29.2739
128 64000 4 3d-mdrange Scale 29.9065
128 64000 4 3d-mdrange Add 44.3802
128 64000 4 3d-mdrange Triad 44.2524
128 65536 4 4d-mdrange Set 15.1919
128 65536 4 4d-mdrange Copy 28.7991
128 65536 4 4d-mdrange Scale 29.5207
128 65536 4 4d-mdrange Add 44.0085
128 65536 4 4d-mdrange Triad 44.1072
128 65536 8 2d-mdrange Set 15.4157
128 65536 8 2d-mdrange Copy 30.2523
128 65536 8 2d-mdrange Scale 31.1891
128 65536 8 2d-mdrange Add 45.5375
128 65536 8 2d-mdrange Triad 46.5758
128 64000 8 3d-mdrange Set 13.1013
128 64000 8 3d-mdrange Copy 23.9588
128 64000 8 3d-mdrange Scale 23.4970
128 64000 8 3d-mdrange Add 36.1412
128 64000 8 3d-mdrange Triad 35.8703
128 65536 8 4d-mdrange Set 11.4421
128 65536 8 4d-mdrange Copy 21.2086
128 65536 8 4d-mdrange Scale 22.2628
128 65536 8 4d-mdrange Add 34.5070
128 65536 8 4d-mdrange Triad 34.8287
128 65536 16 2d-mdrange Set 15.3390
128 65536 16 2d-mdrange Copy 30.8577
128 65536 16 2d-mdrange Scale 30.6960
128 65536 16 2d-mdrange Add 45.1065
128 65536 16 2d-mdrange Triad 45.6299
128 64000 16 3d-mdrange Set 11.9431
128 64000 16 3d-mdrange Copy 23.7526
128 64000 16 3d-mdrange Scale 23.3311
128 64000 16 3d-mdrange Add 35.6133
128 64000 16 3d-mdrange Triad 35.4898
128 65536 16 4d-mdrange Set 4.6042
128 65536 16 4d-mdrange Copy 9.9532
128 65536 16 4d-mdrange Scale 10.1409
128 65536 16 4d-mdrange Add 15.5944
128 65536 16 4d-mdrange Triad 16.6863
128 65536 32 2d-mdrange Set 15.4653
128 65536 32 2d-mdrange Copy 31.3101
128 65536 32 2d-mdrange Scale 30.3671
128 65536 32 2d-mdrange Add 45.6962
128 65536 32 2d-mdrange Triad 45.6035
128 64000 32 3d-mdrange Set 3.8072
128 64000 32 3d-mdrange Copy 8.8535
128 64000 32 3d-mdrange Scale 8.4732
128 64000 32 3d-mdrange Add 11.7781
128 64000 32 3d-mdrange Triad 12.2536
128 65536 32 4d-mdrange Set 4.8002
128 65536 32 4d-mdrange Copy 9.9447
128 65536 32 4d-mdrange Scale 9.9987
128 65536 32 4d-mdrange Add 16.7342
128 65536 32 4d-mdrange Triad 16.4163
128 65536 64 2d-mdrange Set 15.0827
128 65536 64 2d-mdrange Copy 27.5065
128 65536 64 2d-mdrange Scale 26.8515
128 65536 64 2d-mdrange Add 40.2370
128 65536 64 2d-mdrange Triad 39.6187
128 64000 64 3d-mdrange Set 3.6991
128 64000 64 3d-mdrange Copy 8.0738
128 64000 64 3d-mdrange Scale 8.0674
128 64000 64 3d-mdrange Add 11.8262
128 64000 64 3d-mdrange Triad 11.6433
128 65536 64 4d-mdrange Set 4.7771
128 65536 64 4d-mdrange Copy 10.3023
128 65536 64 4d-mdrange Scale 10.7923
128 65536 64 4d-mdrange Add 16.3379
128 65536 64 4d-mdrange Triad 17.2688
128 331776 1 2d-mdrange Set 76.1172
128 331776 1 2d-mdrange Copy 153.4668
128 331776 1 2d-mdrange Scale 148.1143
128 331776 1 2d-mdrange Add 213.2465
128 331776 1 2d-mdrange Triad 213.1894
128 262144 1 3d-mdrange Set 62.3040
128 262144 1 3d-mdrange Copy 121.2227
128 262144 1 3d-mdrange Scale 118.1827
128 262144 1 3d-mdrange Add 177.4240
128 262144 1 3d-mdrange Triad 174.3268
128 331776 1 4d-mdrange Set 72.4797
128 331776 1 4d-mdrange Copy 140.0601
128 331776 1 4d-mdrange Scale 138.8547
128 331776 1 4d-mdrange Add 191.6811
128 331776 1 4d-mdrange Triad 189.0462
128 331776 2 2d-mdrange Set 74.8065
128 331776 2 2d-mdrange Copy 147.2515
128 331776 2 2d-mdrange Scale 144.2112
128 331776 2 2d-mdrange Add 209.6476
128 331776 2 2d-mdrange Triad 211.4345
128 262144 2 3d-mdrange Set 59.5443
128 262144 2 3d-mdrange Copy 109.5948
128 262144 2 3d-mdrange Scale 115.4819
128 262144 2 3d-mdrange Add 168.9889
128 262144 2 3d-mdrange Triad 163.6269
128 331776 2 4d-mdrange Set 69.1542
128 331776 2 4d-mdrange Copy 124.1735
128 331776 2 4d-mdrange Scale 133.3404
128 331776 2 4d-mdrange Add 188.1527
128 331776 2 4d-mdrange Triad 178.6944
128 331776 4 2d-mdrange Set 75.5969
128 331776 4 2d-mdrange Copy 147.9450
128 331776 4 2d-mdrange Scale 147.5790
128 331776 4 2d-mdrange Add 216.0821
128 331776 4 2d-mdrange Triad 211.6593
128 262144 4 3d-mdrange Set 61.6248
128 262144 4 3d-mdrange Copy 120.6300
128 262144 4 3d-mdrange Scale 121.5705
128 262144 4 3d-mdrange Add 175.3472
128 262144 4 3d-mdrange Triad 173.6053
128 331776 4 4d-mdrange Set 62.9705
128 331776 4 4d-mdrange Copy 118.0409
128 331776 4 4d-mdrange Scale 119.2608
128 331776 4 4d-mdrange Add 179.8203
128 331776 4 4d-mdrange Triad 179.9870
128 331776 8 2d-mdrange Set 65.1499
128 331776 8 2d-mdrange Copy 99.0191
128 331776 8 2d-mdrange Scale 114.3809
128 331776 8 2d-mdrange Add 161.6087
128 331776 8 2d-mdrange Triad 161.9703
128 262144 8 3d-mdrange Set 56.1637
