nt n factor policy kernel bw
32 20736 2 2d-mdrange Scale 27.9744
32 20736 2 2d-mdrange Add 41.6804
32 20736 2 2d-mdrange Triad 40.8927
32 32768 2 3d-mdrange Set 23.2603
32 32768 2 3d-mdrange Copy 44.6963
32 32768 2 3d-mdrange Scale 43.1513
32 32768 2 3d-mdrange Add 66.0867
32 32768 2 3d-mdrange Triad 63.8338
32 20736 2 4d-mdrange Set 14.3875
32 20736 2 4d-mdrange Copy 27.3743
32 20736 2 4d-mdrange Scale 28.5522
32 20736 2 4d-mdrange Add 41.0953
32 20736 2 4d-mdrange Triad 40.9263
32 20736 4 2d-mdrange Set 14.5261
32 20736 4 2d-mdrange Copy 27.2394
32 20736 4 2d-mdrange Scale 27.2618
32 20736 4 2d-mdrange Add 41.4720
32 20736 4 2d-mdrange Triad 41.3342
32 32768 4 3d-mdrange Set 21.3299
32 32768 4 3d-mdrange Copy 41.2144
32 32768 4 3d-mdrange Scale 41.8727
32 32768 4 3d-mdrange Add 61.4400
32 32768 4 3d-mdrange Triad 61.1058
32 20736 4 4d-mdrange Set 13.3997
32 20736 4 4d-mdrange Copy 25.8594
32 20736 4 4d-mdrange Scale 26.0421
32 20736 4 4d-mdrange Add 38.4267
32 20736 4 4d-mdrange Triad 38.1644
32 20736 8 2d-mdrange Set 14.5772
32 20736 8 2d-mdrange Copy 27.3292
32 20736 8 2d-mdrange Scale 27.3292
32 20736 8 2d-mdrange Add 40.4276
32 20736 8 2d-mdrange Triad 40.3915
32 32768 8 3d-mdrange Set 21.9735
32 32768 8 3d-mdrange Copy 42.2472
32 32768 8 3d-mdrange Scale 42.2813
32 32768 8 3d-mdrange Add 62.5642
32 32768 8 3d-mdrange Triad 62.9649
32 20736 8 4d-mdrange Set 14.1061
32 20736 8 4d-mdrange Copy 26.8427
32 20736 8 4d-mdrange Scale 27.4422
32 20736 8 4d-mdrange Add 39.9089
32 20736 8 4d-mdrange Triad 40.0051
32 20736 16 2d-mdrange Set 14.3626
32 20736 16 2d-mdrange Copy 26.7346
32 20736 16 2d-mdrange Scale 26.4574
32 20736 16 2d-mdrange Add 39.2479
32 20736 16 2d-mdrange Triad 40.7254
32 32768 16 3d-mdrange Set 20.6901
32 32768 16 3d-mdrange Copy 40.0556
32 32768 16 3d-mdrange Scale 39.4795
32 32768 16 3d-mdrange Add 59.5782
32 32768 16 3d-mdrange Triad 61.3441
32 20736 16 4d-mdrange Set 13.0826
32 20736 16 4d-mdrange Copy 24.9831
32 20736 16 4d-mdrange Scale 24.6125
32 20736 16 4d-mdrange Add 36.7823
32 20736 16 4d-mdrange Triad 38.4000
32 20736 32 2d-mdrange Set 14.0702
32 20736 32 2d-mdrange Copy 25.9789
32 20736 32 2d-mdrange Scale 25.7770
32 20736 32 2d-mdrange Add 38.1060
