nt n factor policy kernel bw
7 32768 16 3d-mdrange Set 22.9508
7 32768 16 3d-mdrange Copy 36.2879
7 32768 16 3d-mdrange Scale 36.5408
7 32768 16 3d-mdrange Add 48.8134
7 32768 16 3d-mdrange Triad 49.8341
7 20736 16 4d-mdrange Set 14.7692
7 20736 16 4d-mdrange Copy 23.9792
7 20736 16 4d-mdrange Scale 24.1538
7 20736 16 4d-mdrange Add 33.9958
7 20736 16 4d-mdrange Triad 34.3976
7 20736 32 2d-mdrange Set 15.8139
7 20736 32 2d-mdrange Copy 24.4907
7 20736 32 2d-mdrange Scale 24.2757
7 20736 32 2d-mdrange Add 34.3976
7 20736 32 2d-mdrange Triad 34.4929
7 32768 32 3d-mdrange Set 22.8090
7 32768 32 3d-mdrange Copy 35.6198
7 32768 32 3d-mdrange Scale 36.8231
7 32768 32 3d-mdrange Add 48.4226
7 32768 32 3d-mdrange Triad 48.0939
7 20736 64 2d-mdrange Set 15.5895
7 20736 64 2d-mdrange Copy 24.4745
7 20736 64 2d-mdrange Scale 24.3309
7 20736 64 2d-mdrange Add 33.6055
7 20736 64 2d-mdrange Triad 35.1011
7 32768 64 3d-mdrange Set 21.8017
7 32768 64 3d-mdrange Copy 35.9397
7 32768 64 3d-mdrange Scale 36.3382
7 32768 64 3d-mdrange Add 46.3890
7 32768 64 3d-mdrange Triad 46.5537
7 65536 1 2d-mdrange Set 55.3689
7 65536 1 2d-mdrange Copy 80.8774
7 65536 1 2d-mdrange Scale 80.9961
7 65536 1 2d-mdrange Add 116.3705
7 65536 1 2d-mdrange Triad 116.2845
7 64000 1 3d-mdrange Set 48.8037
7 64000 1 3d-mdrange Copy 77.3648
7 64000 1 3d-mdrange Scale 76.4978
7 64000 1 3d-mdrange Add 111.4983
7 64000 1 3d-mdrange Triad 110.2023
7 65536 1 4d-mdrange Set 44.9184
7 65536 1 4d-mdrange Copy 75.7259
7 65536 1 4d-mdrange Scale 75.9452
7 65536 1 4d-mdrange Add 107.0777
7 65536 1 4d-mdrange Triad 107.2237
