nt n policy kernel bw
48 102400000 5d-mdrange Scale 99.7318
48 102400000 5d-mdrange Add 96.9861
48 102400000 5d-mdrange Triad 99.3199
48 157351936 range Set 127.3037
48 157351936 range Copy 171.7591
48 157351936 range Scale 167.7151
48 157351936 range Add 216.8031
48 157351936 range Triad 215.7482
48 157351936 2d-mdrange Set 130.1362
48 157351936 2d-mdrange Copy 165.1483
48 157351936 2d-mdrange Scale 166.0509
48 157351936 2d-mdrange Add 189.6461
48 157351936 2d-mdrange Triad 190.2761
48 157464000 3d-mdrange Set 88.0066
48 157464000 3d-mdrange Copy 116.9016
48 157464000 3d-mdrange Scale 125.6636
48 157464000 3d-mdrange Add 137.5409
48 157464000 3d-mdrange Triad 146.9689
48 157351936 4d-mdrange Set 93.5738
48 157351936 4d-mdrange Copy 113.6143
48 157351936 4d-mdrange Scale 111.2319
48 157351936 4d-mdrange Add 122.2564
48 157351936 4d-mdrange Triad 124.4870
48 164916224 5d-mdrange Set 88.3596
48 164916224 5d-mdrange Copy 99.6267
48 164916224 5d-mdrange Scale 98.1070
48 164916224 5d-mdrange Add 98.0776
48 164916224 5d-mdrange Triad 100.1204
48 268435456 range Set 123.9292
48 268435456 range Copy 169.3299
48 268435456 range Scale 166.5249
48 268435456 range Add 218.0954
48 268435456 range Triad 218.1649
48 268435456 2d-mdrange Set 122.6283
48 268435456 2d-mdrange Copy 162.8756
48 268435456 2d-mdrange Scale 164.3280
48 268435456 2d-mdrange Add 192.7199
48 268435456 2d-mdrange Triad 192.1952
48 262144000 3d-mdrange Set 102.6854
48 262144000 3d-mdrange Copy 134.2150
48 262144000 3d-mdrange Scale 127.2568
48 262144000 3d-mdrange Add 150.2915
48 262144000 3d-mdrange Triad 150.6608
48 268435456 4d-mdrange Set 83.2996
48 268435456 4d-mdrange Copy 112.9333
48 268435456 4d-mdrange Scale 112.3086
48 268435456 4d-mdrange Add 129.4758
48 268435456 4d-mdrange Triad 128.9033
48 254803968 5d-mdrange Set 82.7667
48 254803968 5d-mdrange Copy 100.7031
48 254803968 5d-mdrange Scale 100.3886
48 254803968 5d-mdrange Add 106.5034
48 254803968 5d-mdrange Triad 103.2001
48 429981696 range Set 122.4956
48 429981696 range Copy 180.4499
48 429981696 range Scale 175.9988
48 429981696 range Add 216.2057
48 429981696 range Triad 216.2855
48 429981696 2d-mdrange Set 120.6800
48 429981696 2d-mdrange Copy 161.9532
48 429981696 2d-mdrange Scale 162.6123
48 429981696 2d-mdrange Add 194.3413
48 429981696 2d-mdrange Triad 194.2238
48 438976000 3d-mdrange Set 103.7776
48 438976000 3d-mdrange Copy 133.7489
48 438976000 3d-mdrange Scale 132.1592
48 438976000 3d-mdrange Add 150.8216
