nt n policy kernel bw
64 40960000 4d-openmp Add 160.2128
64 40960000 4d-openmp Triad 146.5746
64 40960000 4d-openmp-simd Set 178.4243
64 40960000 4d-openmp-simd Copy 163.5411
64 40960000 4d-openmp-simd Scale 137.3277
64 40960000 4d-openmp-simd Add 161.1684
64 40960000 4d-openmp-simd Triad 146.7172
64 33554432 5d-mdrange Set 45.9691
64 33554432 5d-mdrange Copy 48.4279
64 33554432 5d-mdrange Scale 47.9585
64 33554432 5d-mdrange Add 47.9514
64 33554432 5d-mdrange Triad 49.4544
64 84934656 range Set 111.5690
64 84934656 range Copy 127.5738
64 84934656 range Scale 117.6880
64 84934656 range Add 135.0216
64 84934656 range Triad 128.1529
64 84934656 2d-mdrange Set 96.5882
64 84934656 2d-mdrange Copy 119.0604
64 84934656 2d-mdrange Scale 108.0988
64 84934656 2d-mdrange Add 125.1471
64 84934656 2d-mdrange Triad 117.2388
64 85184000 3d-mdrange Set 42.0265
64 85184000 3d-mdrange Copy 46.9001
64 85184000 3d-mdrange Scale 47.6519
64 85184000 3d-mdrange Add 52.9567
64 85184000 3d-mdrange Triad 53.1875
64 84934656 4d-mdrange Set 38.8962
64 84934656 4d-mdrange Copy 43.8173
64 84934656 4d-mdrange Scale 44.2318
64 84934656 4d-mdrange Add 49.4267
64 84934656 4d-mdrange Triad 50.6497
64 84934656 4d-mdrange-tiling Set 97.6901
64 84934656 4d-mdrange-tiling Copy 117.6308
64 84934656 4d-mdrange-tiling Scale 104.3030
64 84934656 4d-mdrange-tiling Add 122.5160
64 84934656 4d-mdrange-tiling Triad 117.1985
64 84934656 4d-openmp Set 111.7366
64 84934656 4d-openmp Copy 127.5656
64 84934656 4d-openmp Scale 117.7453
64 84934656 4d-openmp Add 135.2154
64 84934656 4d-openmp Triad 128.3028
64 84934656 4d-openmp-simd Set 111.7525
64 84934656 4d-openmp-simd Copy 128.0219
64 84934656 4d-openmp-simd Scale 118.2910
64 84934656 4d-openmp-simd Add 135.5200
64 84934656 4d-openmp-simd Triad 128.8839
64 102400000 5d-mdrange Set 38.4039
64 102400000 5d-mdrange Copy 42.7832
64 102400000 5d-mdrange Scale 44.5573
64 102400000 5d-mdrange Add 49.3916
64 102400000 5d-mdrange Triad 50.0217
64 157351936 range Set 89.5580
64 157351936 range Copy 113.4991
64 157351936 range Scale 111.8049
64 157351936 range Add 124.2532
64 157351936 range Triad 123.5290
64 157351936 2d-mdrange Set 84.5879
64 157351936 2d-mdrange Copy 110.5324
64 157351936 2d-mdrange Scale 108.3557
64 157351936 2d-mdrange Add 120.4435
64 157351936 2d-mdrange Triad 119.8644
64 157464000 3d-mdrange Set 38.2603
64 157464000 3d-mdrange Copy 46.0977
64 157464000 3d-mdrange Scale 48.7782
64 157464000 3d-mdrange Add 53.7331
64 157464000 3d-mdrange Triad 53.3723
64 157351936 4d-mdrange Set 37.8126
64 157351936 4d-mdrange Copy 45.4082
64 157351936 4d-mdrange Scale 47.6867
64 157351936 4d-mdrange Add 51.3907
64 157351936 4d-mdrange Triad 52.6710
64 157351936 4d-mdrange-tiling Set 85.4303
64 157351936 4d-mdrange-tiling Copy 111.7540
64 157351936 4d-mdrange-tiling Scale 109.0267
64 157351936 4d-mdrange-tiling Add 121.5490
64 157351936 4d-mdrange-tiling Triad 120.6650
64 157351936 4d-openmp Set 87.9249
64 157351936 4d-openmp Copy 112.3804
64 157351936 4d-openmp Scale 111.5829
64 157351936 4d-openmp Add 124.0901
64 157351936 4d-openmp Triad 122.9000
64 157351936 4d-openmp-simd Set 88.7002
64 157351936 4d-openmp-simd Copy 112.6274
64 157351936 4d-openmp-simd Scale 111.7470
