nt n factor policy kernel bw
96 64000 8 3d-mdrange Add 44.7266
96 64000 8 3d-mdrange Triad 45.4303
96 65536 8 4d-mdrange Set 16.2303
96 65536 8 4d-mdrange Copy 32.4446
96 65536 8 4d-mdrange Scale 18.8725
96 65536 8 4d-mdrange Add 27.2527
96 65536 8 4d-mdrange Triad 27.9595
96 65536 16 2d-mdrange Set 21.1594
96 65536 16 2d-mdrange Copy 43.6888
96 65536 16 2d-mdrange Scale 42.4422
96 65536 16 2d-mdrange Add 63.0129
96 65536 16 2d-mdrange Triad 61.7924
96 64000 16 3d-mdrange Set 12.3588
96 64000 16 3d-mdrange Copy 26.9836
96 64000 16 3d-mdrange Scale 18.4024
96 64000 16 3d-mdrange Add 25.1461
96 64000 16 3d-mdrange Triad 23.5558
96 65536 16 4d-mdrange Set 8.6931
96 65536 16 4d-mdrange Copy 17.2446
96 65536 16 4d-mdrange Scale 8.4075
96 65536 16 4d-mdrange Add 12.2831
96 65536 16 4d-mdrange Triad 12.3778
96 65536 32 2d-mdrange Set 20.6275
96 65536 32 2d-mdrange Copy 40.0908
96 65536 32 2d-mdrange Scale 41.3852
96 65536 32 2d-mdrange Add 54.7254
96 65536 32 2d-mdrange Triad 54.9645
96 64000 32 3d-mdrange Set 7.2462
96 64000 32 3d-mdrange Copy 15.6875
96 64000 32 3d-mdrange Scale 9.8447
96 64000 32 3d-mdrange Add 13.5823
96 64000 32 3d-mdrange Triad 13.3206
96 65536 32 4d-mdrange Set 9.3276
96 65536 32 4d-mdrange Copy 19.0720
96 65536 32 4d-mdrange Scale 8.9194
96 65536 32 4d-mdrange Add 13.5990
96 65536 32 4d-mdrange Triad 13.1070
96 65536 64 2d-mdrange Set 15.3090
96 65536 64 2d-mdrange Copy 40.2370
96 65536 64 2d-mdrange Scale 36.5447
96 65536 64 2d-mdrange Add 36.8974
96 65536 64 2d-mdrange Triad 36.9712
96 64000 64 3d-mdrange Set 7.1274
96 64000 64 3d-mdrange Copy 15.4987
96 64000 64 3d-mdrange Scale 15.3876
96 64000 64 3d-mdrange Add 13.7287
96 64000 64 3d-mdrange Triad 15.1776
96 65536 64 4d-mdrange Set 9.3301
96 65536 64 4d-mdrange Copy 18.8535
96 65536 64 4d-mdrange Scale 9.4103
96 65536 64 4d-mdrange Add 13.5543
96 65536 64 4d-mdrange Triad 13.4424
96 331776 1 2d-mdrange Set 110.3713
96 331776 1 2d-mdrange Copy 224.7519
96 331776 1 2d-mdrange Scale 216.8825
96 331776 1 2d-mdrange Add 321.8522
96 331776 1 2d-mdrange Triad 321.8132
96 262144 1 3d-mdrange Set 89.6564
96 262144 1 3d-mdrange Copy 170.8474
